year,state,district,rape,attempt_to_rape,gang_rape,murder_with_rape,kidnapping_and_abduction,dowry_deaths,dowry_prohibition_act,cruelty_by_husband_or_relatives_498A,acid_attack,attempt_to_acid_attack,assault_on_women_modesty_354,assault_intent_disrobe_354B,voyeurism_354C,stalking_354D,insult_to_modesty_509,trafficking,procuration_of_minor_girls,importation_of_girls,immoral_traffic_act,indecent_representation_of_women,women_killed_in_honour_killing,witch_hunting,cyber_crime_obscenity_against_women,cyber_stalking_bullying_against_women,child_marriage_prohibition_act,pocso_rape,pocso_assault,pocso_harassment,pocso_unnatural_offences,pocso_other,abduction_for_marriage,abduction_for_illicit_intercourse,attempt_to_kidnap,domestic_violence_act_cases,abetment_to_suicide_women,attempt_to_murder_women,insult_outraging_modesty_other,sexual_harassment_workplace,dowry_harassment,marital_rape_reports,total_cases
2001,Andhra Pradesh,Andhra District 1,3,7,3,5,11,4,12,16,3,9,16,3,5,5,7,4,4,4,4,3,5,3,6,8,7,7,6,9,11,3,5,8,8,10,4,4,5,5,2,3,512
2001,Andhra Pradesh,Andhra District 2,3,4,5,6,9,4,5,12,7,7,8,4,3,6,11,7,6,2,4,9,9,9,3,7,7,6,6,8,4,6,4,4,4,6,7,3,2,4,7,6,497
2001,Andhra Pradesh,Andhra District 3,3,6,4,7,13,5,5,12,7,4,14,6,5,6,11,2,4,5,4,7,11,7,5,2,4,5,8,8,7,4,6,2,6,5,6,6,3,3,5,2,511
2001,Andhra Pradesh,Andhra District 4,2,8,4,7,20,1,4,19,3,6,12,6,5,3,6,3,8,3,4,7,2,8,8,5,8,5,1,3,5,4,6,5,5,6,7,6,7,3,2,3,476
2001,Andhra Pradesh,Andhra District 5,2,7,4,9,15,4,7,17,2,9,15,5,6,2,3,2,5,7,4,4,5,5,4,6,6,7,7,6,3,5,6,9,6,0,4,3,6,8,0,3,506
2001,Andhra Pradesh,Andhra District 6,7,3,4,6,15,4,3,12,8,4,13,3,7,6,3,3,2,5,6,5,7,8,4,6,2,7,3,9,3,6,3,7,5,8,1,4,2,4,8,7,507
2001,Andhra Pradesh,Andhra District 7,8,5,5,5,16,3,5,16,7,7,16,5,1,3,3,5,6,4,6,6,2,4,6,13,3,9,7,7,4,8,12,5,9,7,8,4,3,6,7,4,497
2001,Andhra Pradesh,Andhra District 8,6,5,2,3,11,7,5,11,5,6,12,3,0,2,7,4,3,12,1,6,11,3,5,7,3,3,10,2,4,7,6,7,6,7,4,6,8,11,6,2,451
2001,Andhra Pradesh,Andhra District 9,4,4,6,7,12,2,2,8,6,4,11,4,3,9,3,8,4,4,1,5,7,5,6,10,4,6,6,4,2,8,4,6,5,9,4,5,8,2,8,5,494
2001,Andhra Pradesh,Andhra District 10,8,5,2,3,11,6,3,18,7,7,16,2,6,5,4,4,5,9,4,7,4,6,8,7,4,7,4,3,3,4,4,1,5,10,5,9,1,5,9,8,474
2001,Andhra Pradesh,Andhra District 11,4,6,3,3,9,4,7,12,5,5,10,5,6,3,2,3,3,1,4,6,5,4,5,6,3,2,4,5,4,6,1,6,7,4,7,4,7,8,6,4,455
2001,Andhra Pradesh,Andhra District 12,2,5,0,10,15,3,4,18,5,5,9,4,2,9,13,4,3,10,3,2,8,5,4,7,5,9,1,9,5,9,5,8,11,2,4,7,5,5,9,6,520
2001,Andhra Pradesh,Andhra District 13,5,7,3,4,23,1,6,12,6,5,17,6,8,4,5,4,1,2,7,3,9,4,7,7,5,3,4,3,6,6,9,6,5,4,7,7,4,1,3,5,495
2001,Andhra Pradesh,Andhra District 14,6,4,6,4,12,5,6,14,5,5,16,4,4,4,6,6,7,7,7,7,2,5,1,9,4,8,5,9,9,4,9,5,7,3,5,7,8,9,5,11,535
2001,Arunachal Pradesh,Arunachal District 1,15,23,16,21,21,23,29,21,28,19,24,22,19,20,25,22,22,17,23,17,19,25,23,19,19,25,23,17,21,24,25,22,17,21,20,27,17,23,14,27,1793
2001,Arunachal Pradesh,Arunachal District 2,18,14,14,18,31,21,14,36,30,26,42,18,25,17,15,19,18,18,19,27,10,18,23,23,22,19,16,15,18,20,27,18,22,25,25,22,8,22,16,23,1817
2001,Arunachal Pradesh,Arunachal District 3,24,23,26,23,32,19,18,31,24,21,38,16,27,16,16,23,21,30,17,32,23,20,15,20,19,8,24,29,29,17,19,21,28,23,14,26,26,15,20,18,1885
2001,Arunachal Pradesh,Arunachal District 4,35,32,15,16,27,15,21,29,26,23,32,22,19,18,24,26,16,20,25,26,23,25,22,22,15,17,19,19,15,16,24,29,24,18,19,19,14,17,21,21,1846
2001,Arunachal Pradesh,Arunachal District 5,23,15,16,25,37,23,22,33,21,18,30,13,15,18,32,18,17,21,19,26,21,18,16,21,19,23,19,15,22,18,20,18,25,20,22,21,24,21,9,21,1848
2001,Arunachal Pradesh,Arunachal District 6,20,21,22,20,37,15,25,28,16,16,19,18,20,21,14,19,24,22,21,16,15,16,20,25,16,21,20,26,26,19,18,21,21,19,24,21,17,19,20,17,1833
2001,Arunachal Pradesh,Arunachal District 7,23,12,25,22,32,20,11,30,25,18,28,13,17,21,20,17,21,23,11,27,24,25,16,22,11,28,17,23,15,19,21,15,27,19,12,25,22,19,17,23,1817
2001,Arunachal Pradesh,Arunachal District 8,18,15,20,17,33,17,28,34,19,25,32,28,16,13,15,18,20,28,28,19,18,14,19,19,20,22,19,20,20,23,28,32,19,14,18,20,19,16,29,20,1824
2001,Arunachal Pradesh,Arunachal District 9,23,20,15,18,31,18,17,21,21,17,37,23,25,32,23,17,21,21,19,19,27,21,24,15,30,27,21,20,16,22,24,19,22,25,16,25,13,20,28,18,1925
2001,Arunachal Pradesh,Arunachal District 10,17,17,22,19,28,21,22,32,17,31,30,26,25,22,16,19,20,25,11,26,25,15,20,21,18,14,19,19,26,20,26,23,19,19,17,18,13,19,23,20,1922
2001,Arunachal Pradesh,Arunachal District 11,20,16,20,16,34,18,22,31,21,24,26,18,25,15,21,10,24,26,19,15,21,20,20,26,19,22,19,19,21,12,16,19,22,17,24,17,18,22,19,15,1812
2001,Assam,Assam District 1,4,5,3,4,12,3,6,7,9,1,13,4,9,5,7,7,5,4,7,3,5,4,2,1,2,5,5,7,6,6,3,3,5,3,3,6,5,6,6,8,461
2001,Assam,Assam District 2,8,6,12,4,20,1,6,12,3,3,15,3,5,7,7,3,5,3,1,4,5,6,4,5,7,5,5,9,3,5,3,6,3,3,7,5,4,4,7,9,501
2001,Assam,Assam District 3,3,4,4,5,15,9,2,16,5,2,12,12,5,6,7,7,3,6,9,6,8,7,4,4,9,5,6,11,9,4,2,8,3,7,6,5,3,3,9,7,513
2001,Assam,Assam District 4,1,7,3,6,18,8,9,18,2,5,27,4,2,2,10,2,4,8,3,13,4,4,4,2,6,4,4,0,10,4,2,5,4,4,5,11,6,4,2,4,488
2001,Assam,Assam District 5,5,6,6,6,17,5,7,16,5,8,16,7,6,3,7,4,8,8,5,6,3,6,5,3,6,4,7,2,3,5,7,5,8,3,9,5,5,8,6,4,524
2001,Assam,Assam District 6,12,8,7,7,14,5,6,13,6,3,14,3,2,7,4,5,7,7,8,3,9,5,7,6,7,3,7,7,7,5,5,4,6,10,2,8,5,4,5,7,507
2001,Assam,Assam District 7,7,7,3,8,14,2,5,12,9,7,12,2,4,7,6,2,5,5,4,7,6,4,8,2,4,3,3,3,4,6,3,7,3,4,10,3,7,10,4,5,503
2001,Assam,Assam District 8,8,7,8,6,16,3,2,14,9,3,12,6,1,3,6,4,5,6,8,5,3,5,6,2,4,5,8,4,5,9,8,3,4,4,11,4,4,7,13,8,513
2001,Assam,Assam District 9,5,3,6,10,15,1,4,14,5,7,18,3,3,7,2,2,5,6,6,3,13,6,5,6,4,9,4,4,8,5,6,4,3,7,5,4,4,3,4,6,513
2001,Assam,Assam District 10,5,2,4,5,16,8,4,13,8,4,20,8,5,5,6,9,5,6,8,7,7,3,4,2,5,5,5,1,7,6,4,7,6,2,4,3,4,6,4,5,505
2001,Assam,Assam District 11,5,7,13,6,12,3,9,14,7,2,18,1,6,2,7,6,3,5,5,5,5,5,2,6,5,7,5,9,4,2,6,4,10,3,8,4,6,6,5,6,513
2001,Assam,Assam District 12,3,7,6,7,13,10,9,19,5,4,13,11,3,5,5,12,5,5,3,4,4,5,3,5,4,4,7,7,8,1,7,3,6,4,4,4,1,8,5,5,469
2001,Assam,Assam District 13,2,2,5,3,15,5,4,11,5,5,17,11,5,7,4,6,4,7,5,2,1,10,3,6,2,5,10,4,4,5,2,7,2,6,2,9,8,6,9,3,496
2001,Assam,Assam District 14,6,8,2,2,15,2,6,9,4,0,17,8,0,6,4,6,10,3,9,8,3,3,11,7,6,9,8,2,8,1,9,2,4,6,1,5,6,7,7,6,465
2001,Assam,Assam District 15,9,3,6,8,15,7,9,17,8,5,8,4,10,5,8,3,4,4,5,3,6,5,4,4,7,3,4,6,3,4,3,6,8,7,0,4,7,5,4,5,462
2001,Assam,Assam District 16,4,6,6,2,20,3,10,12,4,3,16,9,6,3,7,6,9,7,8,7,11,2,4,5,8,7,9,8,4,8,4,8,8,8,5,6,3,5,6,7,516
2001,Assam,Assam District 17,7,7,4,7,19,8,6,16,7,9,12,4,1,2,4,4,7,4,7,8,7,5,5,2,4,5,6,5,4,6,6,6,6,4,4,5,5,8,5,7,508
2001,Assam,Assam District 18,6,5,8,5,16,9,5,13,5,6,19,5,0,7,9,4,4,9,6,5,12,5,6,7,0,7,4,0,5,4,7,4,4,4,2,6,4,7,5,5,512
2001,Bihar,Bihar District 1,39,33,39,28,42,26,37,35,36,30,36,29,24,32,39,25,35,30,26,32,33,33,28,34,23,30,35,25,28,37,21,33,26,30,35,37,27,33,27,31,2788
2001,Bihar,Bihar District 2,34,34,20,27,43,26,33,37,23,28,43,34,24,32,26,34,30,27,40,48,38,28,23,35,28,30,38,27,40,32,37,25,34,34,46,34,23,35,26,32,2851
2001,Bihar,Bihar District 3,29,38,31,28,35,29,29,48,33,23,37,26,36,31,24,35,30,40,25,27,32,24,35,41,32,30,34,22,34,21,18,39,26,32,35,28,27,27,30,34,2771
2001,Bihar,Bihar District 4,25,32,37,39,45,39,24,48,45,28,39,31,26,34,25,27,30,26,37,34,37,31,31,26,33,27,25,38,29,25,33,30,28,25,21,38,22,33,47,35,2799
2001,Bihar,Bihar District 5,25,35,34,31,52,37,34,35,22,31,39,30,30,32,34,28,26,28,28,32,37,25,29,29,26,24,41,34,33,35,35,32,26,31,33,29,32,27,28,24,2811
2001,Bihar,Bihar District 6,35,44,35,30,53,24,32,45,30,26,50,24,31,31,29,23,31,35,21,24,39,40,25,32,28,26,28,23,40,19,33,26,32,24,29,32,23,34,23,22,2791
2001,Bihar,Bihar District 7,38,30,25,39,38,36,35,34,31,24,33,23,27,29,34,23,32,21,26,29,26,17,32,22,27,30,31,36,25,34,27,38,37,39,40,35,24,28,25,28,2708
2001,Bihar,Bihar District 8,34,21,28,36,37,39,26,43,33,32,44,39,24,37,39,32,28,32,30,24,34,30,27,26,25,28,34,25,49,39,25,34,35,30,25,19,23,26,39,23,2780
2001,Bihar,Bihar District 9,30,41,36,26,39,31,31,38,42,30,41,32,28,41,25,27,26,33,22,35,24,35,25,29,27,30,21,31,33,28,29,32,28,19,24,26,24,30,46,33,2696
2001,Bihar,Bihar District 10,35,29,39,29,45,29,34,29,37,25,40,22,35,37,24,19,23,41,38,32,30,27,22,31,32,22,36,30,24,30,22,31,30,31,22,28,24,30,21,26,2711
2001,Bihar,Bihar District 11,39,22,32,30,40,33,34,37,31,25,38,25,26,33,34,34,27,28,35,32,29,18,27,30,29,25,37,31,28,24,37,40,27,21,32,32,35,26,31,28,2711
2001,Bihar,Bihar District 12,37,29,38,23,44,27,39,30,30,30,48,31,32,26,25,32,42,24,32,34,22,21,35,33,32,33,29,33,30,25,31,31,30,26,24,22,36,22,35,22,2737
2001,Bihar,Bihar District 13,42,26,31,27,44,39,34,40,32,28,47,31,32,35,29,30,27,35,34,32,31,31,37,41,27,31,35,42,32,33,29,35,26,27,28,35,27,27,41,29,2894
2001,Bihar,Bihar District 14,39,23,29,24,41,23,27,31,29,36,46,29,28,42,29,33,28,27,33,25,34,31,30,39,36,27,25,34,31,31,22,36,36,34,34,24,25,38,29,23,2670
2001,Bihar,Bihar District 15,34,36,20,37,39,30,27,36,32,30,43,29,32,35,29,34,29,29,27,30,36,29,38,23,29,32,38,28,30,33,27,29,32,27,36,25,29,34,27,25,2805
2001,Chhattisgarh,Chhattisgarh District 1,23,15,20,18,36,9,13,22,19,17,30,25,36,14,23,18,22,20,25,31,23,22,18,17,28,15,16,17,26,27,18,11,16,23,13,20,17,19,18,19,1906
2001,Chhattisgarh,Chhattisgarh District 2,18,21,22,16,20,11,14,32,14,15,21,19,27,25,20,13,24,25,19,21,21,26,27,29,23,23,17,19,18,19,21,24,23,21,30,15,12,25,12,18,1874
2001,Chhattisgarh,Chhattisgarh District 3,11,25,21,27,37,26,14,22,17,23,30,19,15,24,24,29,25,16,19,22,21,22,21,18,26,20,25,20,16,27,19,24,19,19,20,36,21,16,15,24,1841
2001,Chhattisgarh,Chhattisgarh District 4,25,18,17,22,27,18,15,38,25,22,29,22,19,23,20,20,23,26,21,18,16,17,21,16,13,25,22,17,22,21,27,18,25,19,24,28,24,9,14,21,1869
2001,Chhattisgarh,Chhattisgarh District 5,22,30,29,14,36,19,16,23,19,15,42,17,15,22,29,27,23,15,21,31,18,22,23,19,17,15,24,28,14,14,18,16,18,20,20,16,21,24,17,15,1835
2001,Chhattisgarh,Chhattisgarh District 6,22,22,22,15,34,18,29,31,18,22,30,19,20,16,19,25,24,29,21,10,26,19,18,23,21,18,15,19,20,18,14,25,21,26,17,22,23,24,21,28,1845
2001,Chhattisgarh,Chhattisgarh District 7,21,24,16,19,22,22,11,24,10,27,25,24,19,17,16,16,20,19,21,24,13,18,20,17,20,27,17,23,19,18,20,16,18,17,19,29,17,20,25,25,1834
2001,Chhattisgarh,Chhattisgarh District 8,20,17,27,16,39,19,27,28,26,30,28,17,26,19,25,20,18,12,25,26,21,8,25,20,23,21,16,25,18,21,21,19,17,20,25,32,17,12,24,25,1893
2001,Chhattisgarh,Chhattisgarh District 9,24,21,15,11,33,17,29,28,26,13,29,18,14,21,19,17,14,21,22,23,21,23,25,27,29,22,27,14,21,21,24,11,11,19,16,21,23,29,17,21,1869
2001,Chhattisgarh,Chhattisgarh District 10,13,16,16,19,35,23,28,27,22,16,40,19,21,19,17,17,16,18,18,14,15,20,22,20,22,22,23,25,14,23,30,23,23,19,19,14,14,23,23,22,1769
2001,Chhattisgarh,Chhattisgarh District 11,22,18,21,22,31,19,17,24,18,21,28,23,26,17,30,20,17,22,23,21,21,21,22,9,20,26,27,26,19,18,18,17,14,12,21,21,20,20,21,22,1835
2001,Chhattisgarh,Chhattisgarh District 12,25,16,26,19,30,20,21,22,11,14,30,34,19,22,18,22,32,20,22,20,21,17,15,30,31,25,12,17,19,24,25,18,27,21,18,20,20,25,22,18,1895
2001,Goa,Goa District 1,7,6,8,1,15,4,10,16,5,8,12,5,11,6,4,8,2,4,5,8,3,4,3,8,4,6,6,2,7,6,5,4,6,3,3,4,6,5,4,1,506
2001,Goa,Goa District 2,6,9,2,3,15,7,2,18,7,6,16,3,9,6,7,9,7,6,5,5,2,3,5,6,4,6,5,6,1,4,3,5,11,8,5,5,5,7,1,2,532
2001,Goa,Goa District 3,6,7,4,3,14,6,6,21,3,1,21,7,9,7,8,9,4,4,2,4,4,2,7,7,4,7,6,2,5,11,7,6,0,10,6,6,3,7,6,1,494
2001,Goa,Goa District 4,5,4,2,6,17,5,5,14,6,6,17,1,6,5,5,6,7,5,7,5,6,5,4,3,5,8,5,2,7,6,5,5,3,7,7,7,3,5,7,4,509
2001,Goa,Goa District 5,2,6,5,4,11,7,9,11,3,7,6,7,4,5,6,3,6,10,6,2,7,3,4,5,2,11,7,6,8,5,6,2,3,3,5,5,3,6,5,7,502
2001,Goa,Goa District 6,6,4,7,5,13,8,6,3,5,3,25,6,5,6,3,10,2,2,4,6,4,2,7,5,9,6,10,6,7,3,5,5,4,4,4,5,11,4,4,4,482
2001,Goa,Goa District 7,9,5,2,10,13,4,3,17,6,9,17,6,7,7,5,5,6,10,4,4,2,6,5,6,3,10,6,3,4,6,5,8,5,8,7,5,9,8,5,5,510
2001,Goa,Goa District 8,8,3,6,5,16,6,3,10,5,3,18,7,5,5,7,4,5,5,7,8,9,6,4,6,7,7,6,7,7,7,8,1,10,8,5,5,5,4,4,7,525
2001,Goa,Goa District 9,8,5,5,3,19,5,8,12,4,4,16,2,5,8,5,3,3,7,5,0,5,2,4,8,2,7,6,3,9,6,9,5,6,2,8,5,5,11,4,9,489
2001,Goa,Goa District 10,4,5,4,2,16,8,3,20,5,4,15,6,6,7,2,5,5,2,4,4,7,8,4,3,8,1,5,10,6,2,5,3,3,8,10,6,5,2,7,3,488
2001,Goa,Goa District 11,7,6,3,4,9,3,8,14,3,5,25,8,3,4,8,2,4,5,3,7,4,4,4,5,7,2,5,7,6,5,3,10,3,4,5,6,2,6,5,6,504
2001,Goa,Goa District 12,5,2,8,5,13,4,3,16,7,6,13,1,5,4,4,9,4,2,2,5,4,5,4,6,6,7,11,4,7,7,3,8,3,6,5,7,3,5,0,4,496
2001,Goa,Goa District 13,7,4,3,6,15,5,6,14,10,4,15,3,2,2,7,5,10,2,7,7,6,5,9,7,5,3,5,3,4,2,6,4,2,4,2,5,4,3,5,6,457
2001,Goa,Goa District 14,5,3,3,7,11,5,5,12,6,6,14,5,1,4,8,6,3,4,8,8,4,3,5,5,3,4,7,9,5,10,2,4,4,5,6,4,10,6,7,3,502
2001,Gujarat,Gujarat District 1,5,7,2,9,15,5,3,13,4,4,13,3,5,6,6,6,3,9,2,5,5,6,1,6,8,6,4,8,1,1,5,4,4,2,3,3,6,3,5,8,487
